US State,Bookmobile per capita
AL,3.73
AK,1.507
AZ,2.357
AR,1.079
CA,1.91
CO,2.572
CT,1.994
DC,1.816
DE,2.371
FL,1.855
GA,2.535
HI,0.784
ID,4.198
IL,2.272
IN,5.899
IA,2.023
KS,1.822
KY,23.482
LA,6.19
ME,0
MD,2.678
MA,1.094
MI,1.779
MN,3.117
MS,0.685
MO,5.172
MT,4.275
NE,4.549
NV,1.656
NH,1.527
NJ,1.491
NM,1.556
NY,0.571
NC,4.722
ND,21.989
OH,5.757
OK,0.282
OR,3.021
PA,2.977
RI,1.858
SC,8.225
SD,10.31
TN,0.335
TX,0.612
UT,9.718
VT,14.445
VA,4.493
WA,3.181
WV,3.853
WI,1.987
WY,5.891
